"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#9","This test checks that 1 Equal 9"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","TestRunningDemoSuite","ParametrizedSuite","","","","Cities_Lomita",""
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails immediately with broken status inside step","
		This Test will Failed as Fail().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#2","This test checks that 1 Equal 2"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails immediately with broken status","
		This Test will Failed as Fail().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#3","This test checks that 1 Equal 3"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","StepTreeDemoSuite","","","","Complex Nesting","
		Step A is parent for Step B, Step C and Step F
		Step C is parent for Step D and Step E
		Step F is parent for Step G and Step H
		Call order will be saved in allure report
		A -> (B, C -> (D, E), F -> (G, H), I)"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized #8","This test checks that 1 Equal 8"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#0","This test checks that 1 Equal 0"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","AttachmentTestDemoSuite","","","","Test Attachments","
		Test's test body and all steps inside can contain attachments"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#1","This test checks that 1 Equal 1"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails with broken status","
		This Test will Failed as Fail().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","TestRunningDemoSuite","ParametrizedSuite","","","","Cities_Paramount",""
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails immediately with broken status and message","
		This Test will Failed as FailNow().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized #2","This test checks that 1 Equal 2"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","FailsDemoSuite","","","","This test fails immediately with broken status and message","
		This Test will Failed as FailNow().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","BeforeAfterDemoSuite","","","","Test wrapped with SetUp & TearDown","
		This test wrapped with SetUp and TearDown container."
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametersDemoSuite","","","","Add Parameters to step","
		Step A will contain following parameters:
			Param1 = Val1
			Param2 = Val2
			Param3 = Val3
			Param4 = Val4
			Param5 = Val5
			Param6 = Val6
			Param7 = Val7"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","LabelsDemoSuite","SomeSubSuite","","","Labels Demo Example 3","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example3""
			Severity = ""normal""
			Unique tag = ""Example3""
		Also this test has additional ""subSuite"" label"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#7","This test checks that 1 Equal 7"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Tehama",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","","ParametrizedSuite","","","","Cities_Ventura",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#7","This test checks that 1 Equal 7"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized #3","This test checks that 1 Equal 3"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Sunnyvale",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","SetupSuite","","","","TableTest With Setup - Vietnam#1966","
		Test will unpack all data from passed parameter to the variables in WithTestSetup func.
		After test finish, it will do ctx.Done() in TestTearDown.
		All Setup and TearDown tests will be add as Befores and Afters to test's container.
		Used Data: Vietnam#1966"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","FailsDemoSuite","","","","This test fails with broken status inside step","
		This Test will Failed as Fail().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Gustine",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#8","This test checks that 1 Equal 8"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","LabelsDemoSuite","SomeSubSuite","","","Labels Demo Example 3","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example3""
			Severity = ""normal""
			Unique tag = ""Example3""
		Also this test has additional ""subSuite"" label"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","AnotherParentSuite","LabelsDemoSuite","","","","Labels Demo Example 2","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example2""
			Severity = ""critical""
			Unique tag = ""Example2""
		Also this test has additional ""parentSuite"" label"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","LinkDemoSuite","","","","Test contains links","
		This test contains link with ISSUE, TEST CASE and LINK.
			Test case link: https://tour.golang.org/welcome/1
			Issue link:     https://pkg.go.dev/github.com/stretchr/testify
			Link link:      https://www.makeuseof.com/tag/8-purrfect-cat-websites/"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test failed by assert without message","
		This Test will be failed with assert Error.
		Error text:
					Not equal:
					expected: 1
					actual  : 2"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametersDemoSuite","","","","Add parameters to Nested Steps","
		Step A is parent step for Step B
		Step A contains Param 1 and Param 4
		Step B contains Param 2 and Param 3"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#6","This test checks that 1 Equal 6"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Cupertino",""
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","FailsDemoSuite","","","","This test fails immediately with broken status inside step","
		This Test will Failed as Fail().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","AnotherParentSuite","LabelsDemoSuite","","","","Labels Demo Example 2","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example2""
			Severity = ""critical""
			Unique tag = ""Example2""
		Also this test has additional ""parentSuite"" label"
"skipped","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","FailsDemoSuite","","","","[XSkip]This test skipped by assert with message","
		This Test will be skipped with assert Error.
		Error text: Assertion Failed"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","AnotherSuite","","","","Labels Demo Example 1","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example1""
			Severity = ""blocker""
			Unique tag = ""Example1""
		Also this test has additional ""suite"" label"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#5","This test checks that 1 Equal 5"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","AnotherSuite","","","","Labels Demo Example 1","
		This Test will have all labels from SetupTest function
		Unique labels:
			ID = ""example1""
			Severity = ""blocker""
			Unique tag = ""Example1""
		Also this test has additional ""suite"" label"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","StepTreeDemoSuite","","","","Simple Nesting","
		Step A is parent step for Step B and Step C
		Call order will be saved in allure report
		A -> (B, C)"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized #6","This test checks that 1 Equal 6"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","TestRunningDemoSuite","ParametrizedSuite","","","","Cities_San Marino",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","2","","ParametrizedTestDemo2","","","","Parent Test","
		This test is parent for all Parametrized"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails immediately with broken status and message inside inner step","
		This Test will Failed as FailNow().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test panicked with inner steps","
		This Test will Failed by panic.
		All steps that includes error will be failed
		Error text:
	test panicked: runtime error: index out of range [0] with length 0 goroutine 8 [running]:..."
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","ParametrizedSuite","","","","Cities_San Carlos",""
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized #3","This test checks that 1 Equal 3"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","FailsDemoSuite","","","","This test fails with broken status inside step","
		This Test will Failed as Fail().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","FailsDemoSuite","","","","This test fails immediately with broken status and message inside inner step","
		This Test will Failed as FailNow().
		Test status will be ""Broken"" in allure.
		No any message expected there"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized #7","This test checks that 1 Equal 7"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","SetupSuite","","","","Just Test WithSetup","
		Test will prepare some data at TestSetup."
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized #5","This test checks that 1 Equal 5"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","TestRunningDemoSuite","ParametrizedSuite","","","","Cities_Cerritos",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedTestDemo","","","","Parent Test","
		This test is parent for all Parametrized"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#4","This test checks that 1 Equal 4"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Shasta Lake",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized #1","This test checks that 1 Equal 1"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","1","ParametrizedTestDemo","Parent Test","","","","Parametrized 2#1","This test checks that 1 Equal 1"
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","","ParametrizedSuite","","","","Cities_Watsonville",""
"passed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","TestRunningDemoSuite","ParametrizedSuite","","","","Cities_South Lake Tahoe",""
"broken","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#4","This test checks that 1 Equal 4"
"failed","Tue Feb 20 17:40:54 MSK 2024","Tue Feb 20 17:40:54 MSK 2024","0","ParametrizedTestDemo2","Parent Test","","","","Parametrized 2#0","This test checks that 1 Equal 0"
